|| ||setname||string||Name of the stack to build||
|| ||excludebad||bool||Exclude bad particles.||
|| ||allparticles||bool||Will process all particle stacks stored in the particles subdirectory (if specified, list of files will be ignored)||
|| ||withflipped||bool||Only include images with phase-flipped counterparts!||
|| ||withbispec||bool||Only include images with bispectrum counterparts!||
|| ||minptcl||int||Files with fewer than the specified number of particles will be skipped||
|| ||minqual||int||Files with a quality value lower than specified will be skipped||
|| ||mindf||float||Files with a defocus lower than specified will be skipped||
|| ||maxdf||float||Files with a defocus higher than specified will be skipped||
|| ||minlosnr||float||Integrated SNR from 1/200-1/20 1/A must be larger than this||
|| ||minhisnr||float||Integrated SNR from 1/10-1/4 1/A must be larger than this||
|| ||minbfactor||float||Files with a B-factor lower than specified will be skipped||
|| ||maxbfactor||float||Files with a B-factor higher than specified will be skipped||
|| ||ppid||int||Set the PID of the parent process, used for cross platform PPID||
||-v||verbose||int||verbose level [0-9], higner number means higher level of verboseness||
